z,"Psi(0, z)","Psi(1, z)","Psi(2, z)","Psi(3, z)","Psi(4, z)","Psi(5, z)","Psi(6, z)","Psi(7, z)","E(z)"
-5,2.79918e-06,-1.97932e-05,9.69868e-05,-0.000379786,0.00125875,-0.00364083,0.00936111,-0.0216478,12.5
-4.99,2.94255e-06,-2.07654e-05,0.000101539,-0.000396746,0.00131197,-0.00378565,0.00970871,-0.0223909,12.4501
-4.98,3.09296e-06,-2.1783e-05,0.000106292,-0.000414416,0.00136727,-0.00393572,0.0100679,-0.0231561,12.4002
-4.97,3.25073e-06,-2.28482e-05,0.000111257,-0.000432824,0.00142473,-0.00409123,0.0104389,-0.023944,12.3504
-4.96,3.4162e-06,-2.39629e-05,0.00011644,-0.000451998,0.00148443,-0.00425234,0.0108222,-0.0247551,12.3008
-4.95,3.58973e-06,-2.51294e-05,0.000121852,-0.000471967,0.00154644,-0.00441924,0.011218,-0.02559,12.2513
-4.94,3.77171e-06,-2.635e-05,0.000127502,-0.000492763,0.00161085,-0.0045921,0.0116267,-0.0264493,12.2018
-4.93,3.96251e-06,-2.76269e-05,0.000133399,-0.000514417,0.00167775,-0.00477112,0.0120486,-0.0273334,12.1524
-4.92,4.16255e-06,-2.89627e-05,0.000139553,-0.00053696,0.00174721,-0.00495649,0.0124842,-0.0282429,12.1032
-4.91,4.37225e-06,-3.036e-05,0.000145976,-0.000560428,0.00181933,-0.0051484,0.0129338,-0.0291784,12.0541
-4.9,4.59206e-06,-3.18213e-05,0.000152677,-0.000584855,0.0018942,-0.00534707,0.0133978,-0.0301405,12.005
-4.89,4.82243e-06,-3.33495e-05,0.000159669,-0.000610277,0.00197191,-0.00555269,0.0138765,-0.0311298,11.956
-4.88,5.06386e-06,-3.49475e-05,0.000166963,-0.000636731,0.00205256,-0.00576548,0.0143703,-0.0321468,11.9072
-4.87,5.31683e-06,-3.66182e-05,0.000174571,-0.000664255,0.00213625,-0.00598566,0.0148797,-0.0331921,11.8585
-4.86,5.58189e-06,-3.83648e-05,0.000182506,-0.00069289,0.00222309,-0.00621345,0.0154051,-0.0342664,11.8098
-4.85,5.85958e-06,-4.01905e-05,0.000190781,-0.000722677,0.00231318,-0.00644908,0.0159467,-0.0353702,11.7612
-4.84,6.15047e-06,-4.20987e-05,0.000199409,-0.000753658,0.00240662,-0.00669279,0.0165052,-0.0365042,11.7128
